,name,lat,lng,id,Note
0,Pizzeria Italiana Da Michele,48.867739,2.356261,51430960e4b0455b2d070f45,1
1,O'scià Pizzeria Napoletana,48.864821,2.347524,4c9894df07916dcb8d01ed1b,2
2,Pizzeria d'Istanbul,48.837677,2.359962,4dc445371f6ef43b89f7e46e,3
3,Pizzeria Mazarine,48.853989,2.337987,4c6fb714d274b60c3d57d70d,4
4,Pizzeria Maccaron,48.859454,2.344401,5371073c498e8b0d316a4db8,5
5,Pizzeria Pepone,48.853511,2.337967,5131ded7e4b04a7c69396261,6
6,Pizzeria Nino,48.839535,2.299931,523741de11d2a8888a604602,7
7,Pizzeria La Gaine,48.859215,2.354996,4e59e059483b865169e59dba,8
8,Pizzeria Luka,48.862087,2.351836,4e59fe822271886714fb58d5,9
9,Pizzeria Luciana,48.845297,2.342616,573eecb1498ebf4b4efd1b8c,10
10,Pizzeria Ghost,48.861029,2.358219,4e58fd782271886714ec7f9d,11
11,Pizzeria Renato,48.866348,2.364821,4b8bffebf964a52082b732e3,12
12,Pizzeria Sette,48.87127,2.353464,53f7b51b498e5ac6875be50a,13
13,pizzeria,48.884677,2.333735,58ce831d18fd2b1c6a40c5ec,14
14,Pizzeria Don Jacomo,48.853623,2.370256,53f79936498ef939417afa78,15
15,Pizzeria Popolare,48.868074,2.343379,58bc834d7d0f6d34315f5cfe,16
16,Mama Pizzeria,48.859778,2.402545,513130f5e4b0ed2721b6e1fa,17
17,Pizzeria Romanella,48.838223,2.35645,51043554e4b08881ebbec640,18
18,Pizzeria d'Auteuil,48.848773,2.265839,4b8d6621f964a5206ff932e3,19
19,Pizzeria Sette,48.85655,2.373932,5b5e12e160255e002c0d5d51,20
20,Pizzeria Les Comédiens,48.844731,2.320639,4ba66d6cf964a520635139e3,21
21,Pizzeria Saint-Lazare,48.876788,2.337441,4b41e2a0f964a520c7c925e3,22
22,Pizzeria Miramar,48.870489,2.32064,543eb095498e12bc703d80a5,23
23,Pizzeria Napoletana,48.853396,2.378799,4e0328be7d8bf11e9f3c1383,24
24,Pizzeria de Bari,48.879217,2.354438,4afff2daf964a520593a22e3,25
25,Pizzeria Via Maria,48.836997,2.318552,4d946494ca3f6ea8f502c834,26
26,Pizzeria Saint Georges,48.87722,2.354398,4e972515b634527c67a6595a,27
27,Pizzeria Chez Hino,48.840488,2.312244,4eef943377c82b92fa7121d1,28
28,Pizzeria Le Coq,48.848458,2.374179,4b60951cf964a520c3ee29e3,29
29,Pizzeria Sandro,48.847132,2.304382,4c2b9a5b8abca59301720020,30
